Restaurant;Type de restaurant;Catégorie du restaurant;Adresse;Code postal;Commune;Code Insee de la Commune;latitude;longitude;Conctact-téléphone-fixe;Adresse e-Mail;Url du site web;Plateforme/url.;Animal_accepté;Service(s) proposé(s) sur l'équipement;Langue(s) parlée(s) à l'accueil;Horaires d'ouvertures;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
CAFÉ DU BRÉSIL;Restaurant;Brasserie;12 avenue de Penhoët - Méan Penhoët;44600;SAINT-NAZAIRE;44184;47.290039;-2.194377;02 40 22 23 24;chantal.belliot44@orange.fr;;;non;Plats à emporter,Service en terrasse,WiFi;Anglais,Français;01/01/2024||31/12/2024||Ouvert du lundi au vendredi||Fermé le samedi et dimanche||07:30||||||14:30||07:30||||||14:30||07:30||||||14:30||07:30||||||14:30||07:30||||||14:30||||||||||||||||;;Cartes bancaires,Espèces,Tickets Restaurant;47.290039, -2.194377;Loire-Atlantique
Café du Port;Restaurant;Brasserie;Pont du 8 mai 1945;44210;PORNIC;44131;47.11493;-2.09854;02 40 82 01 98;contact@cafeduport-pornic.fr;https://www.cafeduport-pornic.fr/;;oui;Plats à emporter,Séminaire,WiFi;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.11493, -2.09854;Loire-Atlantique
Cafétéria Leclerc;Restaurant;Cafétéria;7 rue Henri Dunant;72200;LA FLECHE;72154;47.7025706;-0.0562834;02 43 48 11 88;laurent.goubet@socamaine.leclerc;;;non;Climatisation,WiFi;Français;01/01/2024||31/12/2024||||||09:00||||17:00||||09:00||||17:00||||09:00||||17:00||||09:00||||17:00||||09:00||||17:00||||09:00||||17:00||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.7025706, -0.0562834;Sarthe
Chat'lon de thé;Général;Général;23, Rue Saint-Aubin;49100;ANGERS;49007;47.469535;-0.553453;02 41 05 70 00;chatlondethe@gmail.com;https://chatlon-de-the.business.site/?utm_source=gmb&utm_medium=referral;Facebook||https://www.facebook.com/Chat-Lon-de-Th%C3%A9-100931158251206 ;oui;Climatisation,Plats à emporter,Service en terrasse,WiFi;Anglais,Espagnol,Français;"01/01/2024||31/12/2024||||||||||||||11:30||19:00||||||11:30||19:00||||||11:30||19:00||||||11:30||19:00||||||11:30||19:00||||||15:00||18:30|||| ; 01/01/2025||31/12/2025||||||||||||||11:30||19:00||||||11:30||19:00||||||11:30||19:00||||||11:30||19:00||||||11:30||19:00||||||15:00||18:30||||";;Cartes bancaires,Espèces,Tickets Restaurant;47.469535, -0.553453;Maine-et-Loire
Chez Clément;Restaurant;Général;9 boulevard Emile Pourieux;44350;GUERANDE;44069;47.33087;-2.4276;02 40 45 57 92;l.p.g@free.fr;;;oui;WiFi;Tout;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.33087, -2.4276;Loire-Atlantique
CHEZ JULIE;Restaurant;Cuisine traditionnelle;La Vallée Cajet;72600;NEUFCHATEL-EN-SAOSNOIS;72215;48.3790343;0.25381837;06 09 24 15 15;contact@lesetangsdeguibert.fr;;;oui;Séminaire,Service en terrasse,WiFi;Tout;||||Ouvert tous les midis, vendredi soir et samedi soir + dimanche soir en saison||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.3790343, 0.25381837;Sarthe
Chez Marguerite;Restaurant;Salon de thé;1 rue Saint Laud;49100;ANGERS;49007;47.47291;-0.55176;09 73 65 45 07;julia.roger90@gmail.com;https://www.facebook.com/Chez-Marguerite-256209215108253/;;oui;Plats à emporter,Service en terrasse;Français;"27/01/2023||31/12/2023||||||||||||||||||||||12:00||18:00||||||12:00||18:00||||||12:00||18:00||||||12:00||18:30||||||11:30||13:00|||| ; 02/01/2024||31/12/2024||||||||||||||||||||||12:00||18:00||||||12:00||18:00||||||12:00||18:00||||||12:15||18:30||||||11:30||13:00||||";;Tout;47.47291, -0.55176;Maine-et-Loire
Chez Mat;Restaurant;Restauration rapide;28B Avenue de la Riottière;49123;INGRANDES-LE FRESNE SUR LOIRE;49160;47.4102759;-0.9363806;;chezmat49123@gmail.com;;Facebook||https://www.facebook.com/p/Chez-Mat-100040816126804/ ;oui;Plats à emporter;Tout;"01/01/2024||31/07/2024||||||11:00||13:30||18:00||20:30||11:00||13:30||18:00||20:30||11:00||13:30||18:00||21:00||11:00||13:30||18:00||21:00||11:00||13:30||18:00||21:30||18:00||||||21:30||18:00||||||21:00 ; 01/08/2024||01/09/2024||||||18:00||||||21:00||18:00||||||21:00||18:00||||||21:00||18:00||||||21:00||18:00||||||21:00||18:00||||||21:00||18:00||||||21:00 ; 02/09/2024||31/12/2024||||||11:00||13:30||18:00||20:30||11:00||13:30||18:00||20:30||11:00||13:30||18:00||21:00||11:00||13:30||18:00||21:00||11:00||13:30||18:00||21:30||18:00||||||21:30||18:00||||||21:00";;Tout;47.4102759, -0.9363806;Maine-et-Loire
Chez Minh - Bressigny;Restaurant;Cuisine du Monde;93 rue Bressigny;49100;ANGERS;49007;47.46615;-0.54704;02 41 48 72 05;;https://fr-fr.facebook.com/restaurantchezminhangers/;Facebook||https://www.facebook.com/restaurantchezminhangers/;oui;Plats à emporter;Français;01/01/2021||31/12/2021||||||12:00||14:30||||||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||19:00||22:00||12:00||14:30||18:00||22:00||12:00||14:30||19:00||22:00;;Tout;47.46615, -0.54704;Maine-et-Loire
Chez Rémi;Général;Cuisine traditionnelle;168, Rue de Frémur;49000;ANGERS;49007;47.454499;-0.563788;09 55 17 96 10;;https://sites.google.com/view/restaurantchezremi/accueil;;oui;;Anglais,Français;"01/04/2024||31/12/2024||||||||||||||||||||||12:00||13:30||19:30||21:00||12:00||13:30||19:30||21:00||12:00||13:30||19:30||21:00|||||||||||||||| ; 01/01/2025||31/12/2025||||||||||||||||||||||12:00||13:15||19:45||21:00||12:00||13:15||19:45||21:00||12:00||13:15||19:45||21:00||||||||||||||||";;Cartes bancaires,Espèces;47.454499, -0.563788;Maine-et-Loire
Chez Tonton;Restaurant;Brasserie;11 rue du Maréchal Leclerc;44420;LA TURBALLE;44211;47.34798;-2.5111;02 49 52 42 75;;;;oui;WiFi;Tout;;;Cartes bancaires,Espèces;47.34798, -2.5111;Loire-Atlantique
Ciboule et Ciboulette;Restaurant;Cuisine traditionnelle;60  avenue Pierre Mendès France;49240;AVRILLE;49015;47.50546;-0.58801;02 41 72 00 77;contact@ciboule-ciboulette.fr;http://www.ciboule-ciboulette.fr;Facebook||https://www.facebook.com/Ciboule-et-Ciboulette-704735146226049/?ref=bookmarks;oui;Chaise haute / Réhausseur;Français;"09/06/2021||31/12/2021||||||||||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||19:30||21:15||12:00||13:30||19:30||21:15||12:00||13:30||19:30||21:15|||||||| ; 01/01/2022||31/12/2022||||||||||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||19:30||21:15||12:00||13:30||19:30||21:15||12:00||13:30||19:30||21:15|||||||| ; 01/01/2023||31/12/2023||||||||||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||19:30||21:15||12:00||13:30||19:30||21:15||12:00||13:30||19:30||21:15|||||||| ; 01/01/2024||31/12/2024||||||||||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||19:30||21:15||12:00||13:30||19:30||21:15||12:00||13:30||19:30||21:15||||||||";;Cartes bancaires,Espèces,Tickets Restaurant;47.50546, -0.58801;Maine-et-Loire
COM' CHEZ STAN;Restaurant;Brasserie;10 Place du Docteur Defois;49570;MAUGES-SUR-LOIRE;49244;47.3914685;-0.860498;02 55 97 02 25;;;Facebook||https://www.facebook.com/Comchez-STAN-102501552040337/;oui;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse;Tout;||||||||||||||||10:30||15:00||||||10:30||15:00||18:00||20:00||10:30||15:00||||||10:30||15:00||18:00||23:00||10:30||15:00||18:00||23:00||||||||;;Cartes bancaires,Espèces;47.3914685, -0.860498;Maine-et-Loire
Coquillages et crustacés;Restaurant;Général;Place des Océanes;44380;PORNICHET;44132;47.26486;-2.34439;;;;;oui;;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.26486, -2.34439;Loire-Atlantique
COURT-CIRCUIT;Restaurant;Brasserie;2 Place Saint Jacques;44190;CLISSON;44043;47.0880137;-1.2833994;09 86 08 84 84;courtcircuit.clisson@gmail.com;;Facebook||https://www.facebook.com/p/Court-Circuit-100065144254304/;oui;Plats à emporter;Tout;||||||||||||||||||||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||||12:00||15:00||||;;Tout;47.0880137, -1.2833994;Loire-Atlantique
CREPERIE - PIZZERIA LES FORGES;Restaurant;Pizzeria;La Forge Neuve-3 rue Halle du Fourneau;44520;MOISDON-LA-RIVIERE;44099;47.6044962;-1.3485063;02 40 55 43 90;lesforges44@gmail.com;;;oui;Banquet,Service en terrasse;Anglais;||||||Fermé les lundis, mardis et mercredis||||||||||||||||||||||||||12:00||14:00||19:00||20:00||12:00||14:00||19:00||22:15||12:00||14:00||19:00||22:30||12:00||14:00||19:00||21:30;Menu adulte du jour (midi en semaine)||10,50||12,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.6044962, -1.3485063;Loire-Atlantique
CREPERIE LE ROY D'YS;Restaurant;Crêperie;30 rue des Ponts Neufs;72000;LE MANS;72181;48.0068343;0.19773759;02 43 24 16 86;;;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g187195-d3554569-Reviews-Le_Roi_d_Ys-Le_Mans_Sarthe_Pays_de_la_Loire.html;oui;Service en terrasse;Anglais,Espagnol,Français;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;48.0068343, 0.19773759;Sarthe
Cristy's Diner à la Française;Restaurant;Brasserie;5, Place Pierre Semard;49100;ANGERS;49007;47.465248;-0.559299;09 67 25 07 37;direction@cristys.fr;;Facebook||https://www.facebook.com/CristysDiner/ ;oui;Climatisation,Plats à emporter,Service en terrasse;Anglais,Espagnol,Français,Italien;"01/01/2023||31/03/2023||||||11:00||15:00||17:30||22:00||11:00||15:00||17:30||22:00||11:00||15:00||17:30||22:00||11:00||15:00||17:30||22:00||11:00||15:00||17:30||22:00||11:00||15:00||17:30||22:00||11:00||15:00||17:30||22:00 ; 01/01/2024||31/12/2024||||||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:30||11:45||14:30||18:45||22:30||11:45||14:30||18:45||22:30||18:45||22:30|||| ; 01/01/2025||31/12/2025||||||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:00||11:45||14:00||18:45||22:30||11:45||14:30||18:45||22:30||11:45||14:30||18:45||22:30||18:45||22:30||||";;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.465248, -0.559299;Maine-et-Loire
Croccante;Général;Général;54, Rue du Mail;49100;ANGERS;49007;47.473618;-0.551173;;croccante.angers@gmail.com;https://www.instagram.com/croccante.angers/;Facebook||https://www.facebook.com/people/Croccante/61556748029013/ ;oui;Chaise haute / Réhausseur,Plats à emporter,Traiteur,WiFi;Anglais,Français,Italien;"01/06/2024||31/12/2024||||||12:00||14:00||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||23:00||12:00||14:00||19:00||23:00||19:00||21:30|||| ; 01/01/2025||31/12/2025||||||12:00||14:00||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:30||12:00||14:00||19:00||22:30||18:30||21:30||||";Plats à la carte||5,00||||;Cartes bancaires,Espèces;47.473618, -0.551173;Maine-et-Loire
CROUSTY PIZZA;Restaurant;Pizzeria;11 Place Carnot;72600;MAMERS;72180;48.3500401;0.3689833;02 43 34 00 00;;www.pizzacrousty.fr;;oui;;Tout;;;Cartes bancaires,Chèques bancaires et postaux;48.3500401, 0.3689833;Sarthe
Crêperie Fleur de Sel;Restaurant;Crêperie;4 quai Philippe de Commines;49730;MONTSOREAU;49219;47.216503;0.058239;02 41 40 82 99;fleur85_8@msn.com;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g675426-d11797436-Reviews-Fleur_de_Sel-Montsoreau_Maine_et_Loire_Pays_de_la_Loire.html;oui;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse,WiFi;Anglais,Français;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires;47.216503, 0.058239;Maine-et-Loire
Crêperie la casa;Restaurant;Crêperie;Port de Plaisance;44210;PORNIC;44131;47.10999;-2.11382;02 51 74 05 56;creperielacasa44210@hotmail.com;https://la-casa-creperie-pornic.eatbu.com/?lang=fr;;oui;Plats à emporter;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.10999, -2.11382;Loire-Atlantique
Crêperie Le Rozell;Restaurant;Crêperie;Place de la Chope;44420;PIRIAC-SUR-MER;44125;47.38077;-2.54696;02 40 15 50 15;lerozell.piriac@gmail.com;;;oui;;Tout;;;Tout;47.38077, -2.54696;Loire-Atlantique
CUIT LU CRU;Restaurant;Général;5 rue Châteaubriand;44100;NANTES;44109;47.2215869;-1.5550948;02 40 74 09 27;cuitlucru@gmail.com;www.cuitlucru-restaurant.com;;oui;;Tout;;;Tout;47.2215869, -1.5550948;Loire-Atlantique
Côté Cour;Restaurant;Restaurant gastronomique - cuisine raffinée;7 rue de la Tannerie;49100;ANGERS;49007;47.473182;-0.564222;02 41 88 18 32;jolyguillaume@yahoo.com;https://cote-cour-angers.fr/;Facebook||https://www.facebook.com/restaurantcotecourangers ;oui;Plats à emporter,Service en terrasse,WiFi;Anglais,Français;"01/01/2023||31/12/2023||||||||||||||12:00||14:00||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||19:00||21:30|||||||||||| ; 01/01/2024||31/12/2024||||||||||||||||||||||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30|||||||| ; 01/01/2025||31/12/2025||||||||||||||||||||||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:30||14:00||19:00||21:30||||||||";"Plats à la carte||26,00||45,00|| ; Menu adulte du jour (midi en semaine)||25,00||29,00||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.473182, -0.564222;Maine-et-Loire
Dax Bokit - Colibri Food Market;Restaurant;Cuisine du Monde;59 rue de Charost;44150;ANCENIS-SAINT-GEREON;44003;47.3653099;-1.1795468;;;;Facebook||https://www.facebook.com/profile.php?id=61552155281149;oui;;Tout;||||||||||||||||||||||||12:00||21:30||||||||||||||12:00||21:30||||||12:00||21:30||||||||||||;;Tout;47.3653099, -1.1795468;Loire-Atlantique
Emportez-moi Chaumes-en-Retz;Restaurant;Restauration rapide;4 rue de Bourgneuf;44320;CHAUMES-EN-RETZ;44005;47.1141;-1.93864;02 51 18 43 13;contact@emportez-moi.fr;http://www.emportez-moi.fr/;;oui;;Tout;;;Tout;47.1141, -1.93864;Loire-Atlantique
Etienne Coffee&Shop Laval;Général;Coffee-shop;2 Parvis des Droits de l'Homme;53000;LAVAL;53130;48.07068;-0.77448;02 43 67 17 16;laval@etienne-coffeeshop.com;https://www.etienne-coffeeshop.com/cafes/;Facebook||https://www.facebook.com/etiennecoffeeshoplaval ;oui;;Tout;||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||||||||;;Tout;48.07068, -0.77448;Mayenne
FOOD TRUCK LA RÉGALETTE;Food Truck;Crêperie;Place du Champ de Foire;44390;NORT-SUR-ERDRE;44110;47.4375;-1.50102;;creperie.laregalette44@gmail.com;;Facebook||https://www.facebook.com/La.Baldoria.NortsurErdre/;oui;Plats à emporter;Tout;||||||||||||||||||||||||||||||||||||||||07:00||13:30||||||||||||||||||||;Plats à la carte||2,50||7,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.4375, -1.50102;Loire-Atlantique
Foodista - Angers;Général;Général;8, Rue Boisnet;49100;ANGERS;49007;47.475059;-0.550391;09 88 42 07 89;foodista.angers@gmail.com;;Facebook||https://www.facebook.com/p/Foodista-Angers-61552696254110/ ;oui;Chaise haute / Réhausseur,Service en terrasse,WiFi;Anglais,Français;27/06/2024||31/12/2024||||||||||||||09:00||17:30||||||09:00||17:30||||||09:00||17:30||||||09:00||17:30||||||09:00||17:30||||||09:00||17:30||||;Plats à la carte||12,50||17,00||;Cartes bancaires,Espèces,Tickets Restaurant;47.475059, -0.550391;Maine-et-Loire
GB traiteur;Restaurant;Général;11 Rue des Jaunins;44580;VILLENEUVE-EN-RETZ;44021;47.04187;-1.94323;06 63 43 03 00;gbtraiteur@gmail.com;http://www.gbtraiteur.com/;;oui;Traiteur;Tout;;;Tout;47.04187, -1.94323;Loire-Atlantique
GIULIA PIZZA;Général;Pizzeria;1 rue de la Cité des Sports;44190;GORGES;44064;47.1002704;-1.3070299;285528742;hello@giulia-pizza-gorges.fr;https://giulia-pizza-gorges.fr/;;oui;Plats à emporter;Tout;;;Tout;47.1002704, -1.3070299;Loire-Atlantique
Guinguette - Le Gramophone;Restaurant;Guinguette;Le plan d'eau du Chêne;44521;OUDON;44104;47.3459781;-1.2784861;;;https://www.facebook.com/legramophoneoudon/;Facebook||https://www.facebook.com/legramophoneoudon;oui;Plats à emporter;Français;01/05/2024||30/09/2024||Ouvert de 14h à 22h||fermé les lundis/mardis||||||||||||||||||14:00||22:00||||||14:00||22:00||||||14:00||22:00||||||14:00||22:00||||||14:00||22:00||||;;Cartes bancaires,Espèces;47.3459781, -1.2784861;Loire-Atlantique
Guinguette du Père Chapuis;Restaurant;Guinguette;1 Parc des Vallées;49140;SEICHES-SUR-LE-LOIR;49333;47.577536;-0.3635399;02 41 93 39 00;;;Facebook||https://www.facebook.com/guinguetteduperechapuis;oui;Banquet,Service en terrasse;Anglais,Français;27/04/2024||29/09/2024||||Fermé dimanche soir, lundi toute la journée.||||||||||09:00||22:30||||||09:00||22:30||||||09:00||22:30||||||09:00||22:30||||||09:00||22:30||||||09:00||17:30||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.577536, -0.3635399;Maine-et-Loire
GUINGUETTE LES PIPELETTES;Restaurant;Guinguette;Square Olivier Tardiveau;44390;LES TOUCHES;44205;47.44149;-1.43394;;restaurantlestouches@outlook.fr;;Facebook||https://www.facebook.com/profile.php?id=61557739042729;oui;Plats à emporter;Tout;19/04/2024||28/09/2024||||||||||||||||||||||10:00||||||19:00||10:00||||||19:00||10:00||||||22:30||10:00||||||22:30||10:00||||||18:00;"Menu adulte du jour (midi en semaine)||15,00||15,00||Midis : menu du midi à 15€ ; Menu adulte soir et week-end||10,00||10,00||Soirs : uniquement des planches à 10€";Cartes bancaires,Chèques bancaires et postaux,Espèces;47.44149, -1.43394;Loire-Atlantique
HOTEL RESTAURANT LA CREPERIE DU CHATEAU;Hôtel restaurant;Crêperie;14, Avenue de Champagné;53400;CRAON;53084;47.8519072;-0.9467386;02 43 06 10 33;creperieduchateau@orange.fr;http://www.hotel-restaurant-craon.com;;oui;Service en terrasse,WiFi;Anglais,Espagnol;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.8519072, -0.9467386;Mayenne
K & G;Restaurant;Bistrot / bar à vin;28 rue Jean-Paul II;49300;CHOLET;49099;47.06069;-0.88143;02 41 16 40 44;lesdruides06@gmail.com;https://restaurant-k-g-cholet.eatbu.com/?lang=fr;;oui;;Tout;;;Tout;47.06069, -0.88143;Maine-et-Loire
Kazumi;Restaurant;Restaurant gastronomique - cuisine raffinée;3 rue d'Anjou;49100;ANGERS;49007;47.46628;-0.55669;02 53 57 21 42;hatakenakakazumi@gmail.com;;;oui;;Français;"01/01/2021||31/12/2021||||||20:00||21:00||||||20:00||21:00||||||20:00||21:00||||||20:00||21:00||||||20:00||21:00||||||20:00||21:00|||||||||||| ; 09/06/2021||31/12/2021||||||12:15||13:15||||||12:15||13:15||||||||||||||12:15||13:15||||||12:15||13:15|||||||||||||||||||| ; 01/01/2022||31/12/2022||||||12:15||13:15||20:00||21:00||12:15||13:15||20:00||21:00||20:00||21:00||||||12:15||13:15||20:00||21:00||12:15||13:15||20:00||21:00||20:00||21:00|||||||||||| ; 07/01/2023||31/12/2023||||||12:15||13:15||20:00||21:00||12:15||13:15||20:00||21:00||20:00||21:00||||||12:15||13:15||20:00||21:00||12:15||13:15||20:00||21:00||20:00||21:00|||||||||||| ; 02/01/2024||31/12/2024||||||20:00||21:00||||||12:15||13:15||20:00||21:00||20:00||21:00||||||12:15||13:15||20:00||21:00||12:15||13:15||20:00||21:00||20:00||21:00||||||||||||";;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.46628, -0.55669;Maine-et-Loire
KEBAB PONT MARTIN;Général;Restauration rapide;9 Rue de Nantes;44860;PONT-SAINT-MARTIN;44130;47.123937;-1.5843543;09 77 30 11 05;;;;oui;Plats à emporter;Tout;01/01/2024||31/12/2024||Du lundi au dimanche les midis et soirs ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Tout;47.123937, -1.5843543;Loire-Atlantique
L'ABRI-CÔTIER;Restaurant;Cuisine traditionnelle;230 Avenue de Mindin;44250;SAINT-BREVIN-LES-PINS;44154;47.24995;-2.16606;02 40 27 40 68;prono.didier@orange.fr;https://restaurant-labricotier-stbrevin.com/;;oui;WiFi;Tout;01/01/2024||31/12/2024||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||||;;Cartes bancaires,Chèques Vacances;47.24995, -2.16606;Loire-Atlantique
L'AGORA;Restaurant;Crêperie;1, place Quinefault;53200;CHATEAU-GONTIER-SUR-MAYENNE;53062;47.8288308;-0.6997788;02 43 07 20 29;;;;oui;;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.8288308, -0.6997788;Mayenne
L'AIR BLEU;Restaurant;Cuisine traditionnelle;3 Rue Anatole France;44550;MONTOIR-DE-BRETAGNE;44103;47.30221;-2.17619;02 40 90 01 17;;;;oui;Plats à emporter,Service en terrasse;Tout;01/01/2024||31/12/2024||Ouvert du lundi au vendredi||Fermé le samedi et le dimanche||07:30||||||19:00||07:30||||||19:00||07:30||||||19:00||07:00||||||19:00||07:00||||||19:00||||||||||||||||;;Cartes bancaires,Espèces;47.30221, -2.17619;Loire-Atlantique
L'AMARENA;Restaurant;Pizzeria;15, place de l'Eglise;72470;SAINT-MARS-LA-BRIERE;72300;48.0290902;0.37194728;02 43 76 00 16;mara.miranda-cardoso@orange.fr;;;oui;;Tout;;;Chèques bancaires et postaux;48.0290902, 0.37194728;Sarthe
L'ATELIER;Restaurant;Cuisine traditionnelle;Impasse des Bois;53350;BALLOTS;53018;47.8929158;-1.0424999;02 43 06 61 84;restaurant.latelier@orange.fr;https://latelier-restaurant-ballots.eatbu.com/;Facebook||https://www.facebook.com/Restaurant-LAtelier-114242566657216/;oui;Plats à emporter,Traiteur;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.8929158, -1.0424999;Mayenne
